id,title,score,num_keywords,num_comments,compound,has_question,computed_virality_score
1m2rv3p,Recomendation for DVR using Trackmix wifi.,2,0,0,0.0,False,0.0
1m2rqlt,LTS camera adjustment,1,0,2,0.8104,True,4.621
1m2qp35,Aosu cameras connecting to monitor.,1,0,0,0.0772,True,2.154
1m2nz8s,Ring Camera hacked?!,2,0,0,-0.4574,False,-0.915
1m2lkgu,Whats wrong,1,0,3,-0.4767,True,1.047
1m2emco,Hiseeu,1,0,0,0.9306,True,4.861
1m2dp4v,"Looking for wireless, solar, no subscription security camera",3,1,31,-0.5204,True,3.459
1m2d4x8,Help document emotional abuse in Texas,3,0,8,-0.8819,True,1.236
1m2a6wv,Security Camera Recommendations,1,0,6,-0.0,True,3.0
1m26cbn,UNV NVR having issues with cameras extended via network,1,0,2,-0.8134,True,1.373
1m20dw8,Need advice for buying a security camera for my apartment,1,0,0,0.34,False,0.68
1m1tq5m,Is this setup worth it,2,0,0,0.7977,True,4.595
1m1cl2i,Swann Security camera not recording,2,0,7,0.6249,True,3.25
1m13v0w,"tight budget, camera system that uses google one storage",0,0,8,0.8977,True,4.795
1m10qwq,DW Spectrum cloud issues,1,0,0,0.6408,True,4.282
1m0oecx,Camera for catching fly tippers,7,8,36,-0.4215,True,14.157
1m0ldrm,First time security camera,8,0,29,0.5859,True,3.172
1m0it46,YI Home can't view clips anymore unless you have cloud... time to sent camera to the trash,5,0,8,0.0,True,2.0
1m0hwfp,Camera for license plates/stalker,1,0,11,0.7848,True,4.57
1m06t47,I need help my car was burned in my back yard can somone identify this camera,0,0,18,-0.7964,True,1.407
1m06qql,Tech advice - non wifi camera solutions,4,0,5,0.942,True,4.884
1m03w7x,Solar wifi for cameras,1,0,1,0.8041,True,4.608
1m00jn1,How to view VicoHome camera's past alerts? Using the app is best?,1,0,0,0.9487,True,4.897
1lzvrjr,Camera,3,0,13,-0.683,True,1.634
1lztqzd,Side Mount PTZ - Oriented to Side (not Down),1,0,13,0.0,True,2.0
1lyyfga,Whole House Recommendations,1,1,3,0.7564,True,6.013
1lyxo4o,Camera no audio or pan and tilt,1,0,15,0.7834,True,4.567
1ly9tvp,Security camera with a long battery life,0,0,2,0.5817,True,4.163
1ly7llv,PoE connection not working but tester shows the cable is OK,7,0,16,0.8047,True,4.609
1ly62g7,What can I get for a single security camera that records 24/7 without a DVR setup?,4,2,43,0.9418,True,7.884
1ly2hke,Is this a good install,6,4,51,-0.1431,True,8.714
1lxyx22,Searching for a CCTV camera that offers clear audio to monitor the cashier in a noisy reception area.,0,1,8,0.2263,True,3.953
1lxvi19,Looking for a security camera that can run off a power bank,1,0,3,-0.3637,True,2.273
1lxlesm,Discreet visual and audio camera,2,0,8,0.8796,True,4.759
1lwxz7y,Need long distance NV security camera,1,0,2,0.9398,True,4.88
1lwwaco,Solar &amp; Cellular Outdoor Cameras,1,1,3,0.9552,True,6.41
1lwuxxm,Can anyone identify this security camera?,0,0,6,-0.3187,True,1.363
1lwrmfu,wifi mini hidden spy camera wireless hd 1080p,0,0,6,0.5698,True,4.14
1lwqn3a,Lorex security cameras,0,0,0,0.34,False,0.68
1lwjtvf,24/7 Video recording review/“scrubbing”,1,0,13,0.3595,True,2.719
1lwghes,Our AirBnb has these throughout the home with privacy shield open - what are they and how to tell if these are live?,287,2,119,0.4515,True,6.903
1lwf388,Mobotix jpg url on newer models Mx-VB1A-8-IR-VA,1,0,0,-0.1687,True,2.663
1lwef1q,PoE doorbell cameras options,2,0,3,0.4215,True,2.843
1lw56xs,Simple live camera suggestions?,1,0,3,0.8872,True,4.774
1lw2uis,Altered with security cameras,2,0,0,0.4939,False,0.988
1lvxjy9,Best Way to Share Tapo C402 Camera Access with Immediate Family,1,0,3,0.9279,True,4.856
1lvt7xy,Continuous Live Stream Help,1,0,0,0.9425,True,4.885
1lvr9x1,Blink outdoor 3/4 the right option?,1,0,0,0.8625,True,4.725
1lvq24i,"Non-subscription, closed network options?",4,0,2,0.4682,True,3.936
1lvmgnx,Wireless/Solar + 4G/LTE Outdoor Security Cameras for 5-Building Industrial Park – Recommendations?,2,0,1,0.9294,True,4.859
